domain,arch,method,BAcc,F1,AUC,ECE,dECE,SCE,Brier,BSS,NLL,Conf,Ent,MTP,MCE,OCE,CCC,AURC,EAURC,Risk@90,Risk@80,BAcc_sd,F1_sd,AUC_sd,ECE_sd,dECE_sd,SCE_sd,Brier_sd,BSS_sd,NLL_sd,Conf_sd,Ent_sd,MTP_sd,MCE_sd,OCE_sd,CCC_sd,AURC_sd,EAURC_sd,Risk@90_sd,Risk@80_sd
BLOODCELL,ConvNeXt,ABL_focal,0.9421463698046851,0.9419377042757823,0.9934831836016134,0.06329422691272742,0.052461808476502204,0.032898023475242136,0.0968159782936841,0.8709120289417547,0.19255632514238705,0.8795074664839383,0.329260314482542,0.8617011743000701,0.3409610020886166,0.6028486985646946,0.89658712201422,0.006236684763093914,0.0044931354394866,0.023360408991306803,0.009292256968418887,0.0036426726021300095,0.003572485244545624,0.0009447451702041345,0.002675461036035425,0.003390272150240403,0.0017276872692595256,0.004919849404167217,0.006559799205556297,0.005767716904954941,0.001399352568065169,0.004609053406855073,0.002698037301357535,0.20424268306507978,0.008583013452665428,0.0005200481974959319,0.0008869070298119039,0.0006731681096323007,0.004156569352146369,0.002304161166233666
BLOODCELL,ConvNeXt,ABL_no_descriptors,0.929178255620581,0.9290571594433816,0.9905482070957872,0.025743762646548624,0.01555725043141588,0.015544672908174312,0.10609919574162785,0.8585344056778297,0.19084458792060785,0.9062205321784514,0.25463507894218707,0.8766074952584308,0.2967400830662025,0.6782946897780411,0.9236762709593223,0.009496843633049782,0.006863971831935299,0.036062164595486675,0.017584963761875304,0.006965818121725542,0.006865973358938132,0.0015282589403932466,0.005430877052910109,0.00548947268410493,0.003305766714520672,0.007830871893672446,0.010441162524896564,0.009853313067589018,0.0022839908144329964,0.007765551252025518,0.00449497385795309,0.09549946322483324,0.008619456165019216,0.002080461347328278,0.0015712138063433004,0.0011123995435233442,0.0058116180648501515,0.00561975933334487
BLOODCELL,ConvNeXt,ABL_no_gate,0.9340997743101633,0.9340433407192543,0.9917806403874208,0.019581278745572146,0.010562384148551904,0.01344586725818915,0.09683572028416279,0.8708857062877831,0.17282153199565564,0.9169315122190976,0.22573822310319042,0.8892874808459668,0.3321545543716244,0.6839029071760023,0.9334457944522058,0.008176689008691682,0.005905345830610812,0.03011118800170124,0.014687761014597598,0.005542864201419741,0.005513667575147699,0.0010541889010539708,0.004731474721857482,0.004069065508703186,0.0018093246973822882,0.006900420749779106,0.00920056099970545,0.008695310222431446,0.0029337542026007285,0.009538132599664101,0.004845582005350936,0.18959459417610444,0.008026908552352543,0.0030106157652944163,0.0010598369720857363,0.000699495310515593,0.004771498869331281,0.0023290425864131506
BLOODCELL,ConvNeXt,ABL_no_knn,0.9325817554224398,0.9325421491165506,0.990872922859726,0.015713811980021076,0.006223837683356255,0.01096719286692074,0.09962524911863739,0.8671663345084836,0.17462787242340824,0.9236972376367888,0.2012681034728839,0.8935934865709516,0.4013257053632483,0.7029434607455132,0.9397667572798032,0.009341486079403842,0.006952266823753439,0.03233179175152469,0.017885213237537077,0.007670669954330217,0.007635492378839229,0.0013338332207636111,0.004567402729319039,0.004107237905011129,0.0015854757178673377,0.007802914864420027,0.010403886485893363,0.010321171699049255,0.0012870870498470801,0.0013072720865078596,0.0041297322356212834,0.13385202262274262,0.0171360053709814,0.0012756790017901486,0.0012960872054657015,0.0008801733860160416,0.006223792730763451,0.002402161659721842
BLOODCELL,ConvNeXt,ABL_no_poly,0.9340997743101633,0.9340433407192543,0.9917777961494867,0.019162721854651517,0.010423394571897275,0.013273279972112006,0.09682213640596424,0.8709038181253812,0.17272094285214784,0.9170948794296292,0.2250512511079544,0.8894331326029526,0.33279958591123776,0.6840880976823447,0.9336077717952442,0.008179645199338607,0.005908302021257738,0.03002233860143469,0.01458781098961009,0.005542864201419741,0.005513667575147699,0.0010497545502591121,0.004604375820371518,0.004040773994263192,0.0018237804755269341,0.006920858887591131,0.009227811850121505,0.00889356693482472,0.0032488028079343716,0.010618255486591132,0.0051381839382905374,0.19084472080809953,0.007822798133225858,0.0032661214531618053,0.001055487356840819,0.0006950386647373644,0.004905894574643678,0.002428526749281122
BLOODCELL,ConvNeXt,ABL_no_rbf,0.9309740156061455,0.9306865265141229,0.9906828857477595,0.05529778702747497,0.04226138972363287,0.02874752780534684,0.11301683539733154,0.8493108861368915,0.2186864915988004,0.8758201562482638,0.3297597461259343,0.8524745652742505,0.2753985992636217,0.6160995677939349,0.8951718620623523,0.009432517873826703,0.006946329449879711,0.03526299343571793,0.01668626226347366,0.004463666678693846,0.00442353982102884,0.001208139252086193,0.007370044029499911,0.007389878262575359,0.002734914907335949,0.004163936667966681,0.005551915557288892,0.010339289770477508,0.004503319606017323,0.008122600586315917,0.004208340105872896,0.08319755215257313,0.007049100448250259,0.005302572143828257,0.0008422554357995005,0.0007251090063887098,0.00473036855702998,0.0025588710845460085
BLOODCELL,ConvNeXt,APEX,0.9340997743101633,0.9340433407192543,0.9917808862398125,0.019210734580045342,0.010407451938558774,0.013321206306930589,0.09682201364685376,0.8709039818041951,0.17275264121059203,0.9170311504493605,0.22532481182615868,0.8893787156618747,0.3322619780735302,0.6839851461732581,0.9335465502001987,0.00817649713450557,0.005905153956424701,0.03011118800170124,0.014687761014597598,0.005542864201419741,0.005513667575147699,0.0010545486600219802,0.004609107917192254,0.004032058343539419,0.00181118017945698,0.006921448014657875,0.009228597352877137,0.008830743248867384,0.003122995120370923,0.01016996643711813,0.005027485103253981,0.18980264681821304,0.007935478728501828,0.0031658139820598752,0.0010601200447397908,0.000699786936407193,0.004771498869331281,0.0023290425864131506
BLOODCELL,ConvNeXt,BASE,0.8795467130706396,0.8782568929227553,0.9798509993952683,0.06032985718213849,0.043220987164680626,0.04148672875580805,0.1810594161222275,0.7585874451703637,0.3319386601448059,0.8189634561538697,0.4685137867927551,0.7811229705810547,0.3310183341368968,0.5959644317626953,0.8496243715286255,0.025757796268356625,0.0180461970362223,0.08376182521602793,0.0538560390134603,0.010835475149621283,0.011085034392010851,0.002147977996735552,0.009616367514306345,0.010066938502869487,0.00468431647165594,0.012014990894387517,0.016019987859183328,0.021536324930858445,0.007053908419435057,0.0163927362301564,0.009489806108790192,0.21499728508941127,0.003908508684395075,0.0070755551047216375,0.0043342390705450925,0.0030070731502233124,0.01011283300117883,0.009227889410262188
BLOODCELL,ConvNeXt,DIRICHLET,0.8919869820142408,0.8912631677918116,0.9814605020408214,0.01154493207829664,0.0019490186545184113,0.011736463251320106,0.1556458998647608,0.7924721335136525,0.2660134732723236,0.8941346526145935,0.25997315943241117,0.8467940330505371,0.25994513396060825,0.6907752990722656,0.9189005970954895,0.02093346998760233,0.014784359846706892,0.07097149638644913,0.04266587984728914,0.0028443103296853563,0.0027511662602580545,0.0014492582648847967,0.002178053374163647,0.0010779700314684914,0.0011581602640930624,0.0059052562562489155,0.007873675008331893,0.009938741121864665,0.002685281254155808,0.007490677534559552,0.004528781362429899,0.09319912813658332,0.011157111532831852,0.002726246394623268,0.001577926625547536,0.0014361960340346668,0.00449534203839624,0.005175315354052012
BLOODCELL,ConvNeXt,FAIR_equal_blend,0.9402299470360547,0.9399993033997806,0.9930190657187218,0.060117491201050186,0.04892734832814348,0.03133797414007274,0.09988995823368042,0.8668133890217595,0.1949757506045675,0.8803615522468956,0.3167499740923523,0.8618179142857931,0.34313409260514877,0.6046094225948616,0.8979640757967264,0.0067996643489484036,0.004940172128189647,0.02584748203482486,0.010091457767619686,0.003159521360785157,0.003160083853927202,0.0010208149340260417,0.0033109587466112187,0.0037694574387351484,0.001370914964736217,0.004502261222512715,0.006003014963350282,0.00554380763143997,0.001667160825536895,0.004331895259430347,0.002899453111275729,0.18809327333188836,0.010929857637795339,0.001812464613770888,0.0009535510358468525,0.0007631020738749817,0.004833695858136113,0.0030038523099836637
