domain,arch,fold,method,mc_active,BAcc,F1,AUC,ECE,dECE,SCE,Brier,BSS,NLL,Conf,Ent,MTP,MCE,OCE,CCC,AURC,EAURC,Risk@90,Risk@80
BLOODCELL,ConvNeXt,1,BASE,True,0.8743363348563342,0.8708702633871929,0.9803574375378421,0.053630221487758534,0.0363799126953139,0.04846652147676044,0.18899507252409425,0.7480065699678746,0.35254070345376487,0.8197216987609863,0.4620296359062195,0.7784088850021362,0.17445576190948486,0.5970750451087952,0.852008581161499,0.027887344448067453,0.01948040167749449,0.08969804618117229,0.05194805194805195
BLOODCELL,ConvNeXt,1,MC_DROPOUT,True,0.8759202269162277,0.8726863405016345,0.9800590475634202,0.07895156986419077,0.06108870840174776,0.05640861012552812,0.19705114060613896,0.7372651458584818,0.3722612950366658,0.7959985136985779,0.5198237895965576,0.7587857842445374,0.22864354830799682,0.5745037794113159,0.827655017375946,0.02833886548137031,0.020147187587705444,0.0905861456483126,0.05444555444555445
BLOODCELL,ConvNeXt,1,TEMP_SCALE,True,0.8743363348563342,0.8708702633871929,0.9806975198686549,0.021406896617762176,0.007352908893647397,0.03764380577475776,0.18137234881788966,0.7581702015761475,0.33633982117241595,0.8788102865219116,0.3067164719104767,0.8228316307067871,0.3173085153102875,0.6772595643997192,0.9080378413200378,0.027610529063889173,0.01920358629331621,0.09147424511545293,0.055944055944055944
BLOODCELL,ConvNeXt,1,VEC_SCALE,True,0.8962246518633629,0.8957732031753247,0.981757219003424,0.017385180219962187,0.0050395717761500276,0.011841166806084321,0.1512326411966086,0.7983564784045222,0.27571026947957594,0.8995016212827093,0.2508327702810778,0.852329267837785,0.17804750007309256,0.6940467215782555,0.9234194307487494,0.0207586076525435,0.01510167355716021,0.06616341030195382,0.03596403596403597
BLOODCELL,ConvNeXt,1,ISOTONIC,True,0.8963165536355988,0.8952378651626924,0.9812471642881881,0.01698591658652808,0.005805949564818691,0.015684438254327766,0.15365586497812314,0.7951255133625028,0.31808985301524717,0.8913877606391907,0.25259488821029663,0.8476632833480835,0.11210328340530396,0.6815716624259949,0.9158133268356323,0.023076501315282962,0.017419567219899672,0.06545293072824167,0.03996003996004002
BLOODCELL,ConvNeXt,1,DIRICHLET,True,0.8958991174294468,0.8952238627621929,0.9824895737889736,0.009653467644799286,0.0017840469246544251,0.011024366905404861,0.14939943266055852,0.800800756452589,0.26633785695880463,0.8988442420959473,0.2473059445619583,0.8534224033355713,0.30659207701683044,0.69166100025177,0.9230663776397705,0.02073694940100528,0.015035850516756804,0.06616341030195382,0.038461538461538464
BLOODCELL,ConvNeXt,1,APEX,True,0.9344218283871715,0.9343680225819211,0.9919642866479734,0.019446770543126626,0.007465533993969348,0.012707558940085921,0.09772617516407583,0.8696984331145657,0.17447886527543138,0.9182152775347688,0.21982694221820703,0.8900350559403625,0.12132372268747682,0.6885738047524514,0.9344217972135894,0.008584811706429381,0.006349480261573113,0.03063943161634103,0.015984015984015984
BLOODCELL,ConvNeXt,1,ABL_no_gate,True,0.9344218283871715,0.9343680225819211,0.9919642866479734,0.019446770543126622,0.007465533993969344,0.012707558940085923,0.09772617516407583,0.8696984331145657,0.17447886527543138,0.9182152775347688,0.21982694221820703,0.8900350559403625,0.12132372268747682,0.6885738047524514,0.9344217972135894,0.008584811706429381,0.006349480261573113,0.03063943161634103,0.015984015984015984
BLOODCELL,ConvNeXt,1,ABL_no_rbf,True,0.93245902418711,0.9320850367600478,0.9912841682012644,0.057877290088807654,0.04512006979234794,0.028808011353153196,0.11226198105606268,0.8503173585919166,0.21834380958618163,0.8743583811680626,0.33354944442414336,0.8516865157848021,0.1830296206793559,0.6123605804354972,0.8934495196697927,0.008958916380467816,0.00658482358089742,0.03596802841918295,0.015484515484515484
BLOODCELL,ConvNeXt,1,ABL_no_poly,True,0.9344218283871715,0.9343680225819211,0.9919642866479734,0.019445622142055266,0.0074659031752747455,0.012707089135290053,0.09772660752686554,0.8696978566308461,0.17447916812732223,0.9182164717566329,0.2198227604097522,0.8900358459224785,0.12132264043305285,0.688577636610244,0.9344228052892053,0.008585074895214168,0.0063497434503579,0.03063943161634103,0.015984015984015984
